Component,Individual Variance (%),Cumulative Variance (%)
1,44.59352220227062,44.59352220227062
2,18.545255453685286,63.138777655955906
3,9.584641206459551,72.72341886241546
4,6.593768249233614,79.31718711164906
5,5.622286161106247,84.93947327275532
6,3.9884877238851666,88.9279609966405
7,2.2144931659004934,91.14245416254097
8,1.614005640816538,92.75645980335752
9,1.2847889581317797,94.0412487614893
10,1.1656613824207416,95.20691014391004
11,1.00835993664783,96.21527008055787
12,0.9055347468367905,97.12080482739466
13,0.7926352851324262,97.91344011252708
14,0.4794821010874614,98.39292221361454
15,0.30410701587952965,98.69702922949408
16,0.2512994006161946,98.94832863011025
17,0.19752487138375496,99.14585350149402
18,0.1744134037584473,99.32026690525247
19,0.15734656034851477,99.47761346560098
20,0.10515227039803547,99.58276573599902
21,0.09955393414101812,99.68231967014003
22,0.07958148882942646,99.76190115896945
23,0.07840345499114769,99.84030461396061
24,0.053124627523046156,99.89342924148366
25,0.05118622816622328,99.94461546964988
26,0.02641130566076489,99.97102677531065
27,0.02099924038450487,99.99202601569515
28,0.005033069420988762,99.99705908511613
29,0.0025282761422801797,99.9995873612584
30,0.0004126387415811293,99.99999999999999
